WT 0.1M sucrose	
480	0.006
480.5	0.007
481	0.01
481.5	0.011
482	0.011
482.5	0.012
483	0.012
483.5	0.012
484	0.011
484.5	0.009
485	0.007
485.5	0.005
486	0.006
486.5	0.005
487	0.003
487.5	0.004
488	0.008
488.5	0.009
489	0.01
489.5	0.009
490	0.01
490.5	0.01
491	0.009
491.5	0.008
492	0.005
492.5	0.007
493	0.009
493.5	0.008
494	0.007
494.5	0.005
495	0.007
495.5	0.007
496	0.007
496.5	0.005
497	0.004
497.5	0.004
498	0.006
498.5	0.008
499	0.009
499.5	0.009
500	0.009
500.5	0.008
501	0.006
501.5	0.007
502	0.008
502.5	0.007
503	0.009
503.5	0.01
504	0.01
504.5	0.009
505	0.007
505.5	0.002
506	0.005
506.5	0.006
507	0.005
507.5	0.004
508	0.004
508.5	0.005
509	0.007
509.5	0.009
510	0.011
510.5	0.013
511	0.016
511.5	0.016
512	0.015
512.5	0.015
513	0.013
513.5	0.009
514	0.005
514.5	0.002
515	-0.001
515.5	-0.002
516	-0.005
516.5	-0.003
517	0
517.5	0.004
518	0.003
518.5	0.003
519	0.003
519.5	0.004
520	0.004
520.5	0.009
521	0.01
521.5	0.014
522	0.017
522.5	0.018
523	0.015
523.5	0.01
524	0.008
524.5	0.004
525	0.003
525.5	0.002
526	0.002
526.5	0.005
527	0.007
527.5	0.009
528	0.008
528.5	0.006
529	0.007
529.5	0.009
530	0.009
530.5	0.007
531	0.007
531.5	0.009
532	0.008
532.5	0.008
533	0.009
533.5	0.006
534	0.006
534.5	0.006
535	0.006
535.5	0.007
536	0.007
536.5	0.008
537	0.009
537.5	0.009
538	0.008
538.5	0.003
539	0.003
539.5	0.005
540	0.007
540.5	0.008
541	0.011
541.5	0.013
542	0.013
542.5	0.012
543	0.01
543.5	0.008
544	0.01
544.5	0.009
545	0.007
545.5	0.006
546	0.007
546.5	0.009
547	0.009
547.5	0.011
548	0.014
548.5	0.013
549	0.012
549.5	0.013
550	0.01
550.5	0.008
551	0.008
551.5	0.007
552	0.008
552.5	0.009
553	0.007
553.5	0.005
554	0.005
554.5	0.007
555	0.008
555.5	0.007
556	0.01
556.5	0.011
557	0.012
557.5	0.012
558	0.011
558.5	0.01
559	0.012
559.5	0.012
560	0.015
560.5	0.013
561	0.015
561.5	0.012
562	0.01
562.5	0.009
563	0.008
563.5	0.005
564	0.007
564.5	0.007
565	0.012
565.5	0.012
566	0.012
566.5	0.009
567	0.009
567.5	0.007
568	0.005
568.5	0.004
569	0.004
569.5	0.005
570	0.005
570.5	0.004
571	0.003
571.5	0.007
572	0.011
572.5	0.012
573	0.016
573.5	0.018
574	0.018
574.5	0.016
575	0.012
575.5	0.008
576	0.004
576.5	0.006
577	0.008
577.5	0.006
578	0.004
578.5	0.002
579	-0.001
579.5	0.002
580	0.003
580.5	0.003
581	0.005
581.5	0.008
582	0.01
582.5	0.009
583	0.007
583.5	0.004
584	0.004
584.5	0.007
585	0.009
585.5	0.006
586	0.009
586.5	0.009
587	0.01
587.5	0.011
588	0.01
588.5	0.006
589	0.005
589.5	0.001
590	0
590.5	0
591	0.004
591.5	0.006
592	0.01
592.5	0.01
593	0.01
593.5	0.01
594	0.01
594.5	0.006
595	0.007
595.5	0.009
596	0.011
596.5	0.01
597	0.011
597.5	0.009
598	0.01
598.5	0.01
599	0.013
599.5	0.015
600	0.015
600.5	0.017
601	0.015
601.5	0.014
602	0.015
602.5	0.012
603	0.007
603.5	0
604	-0.001
604.5	0
605	-0.001
605.5	0
606	0.004
606.5	0.009
607	0.014
607.5	0.016
608	0.017
608.5	0.019
609	0.021
609.5	0.02
610	0.02
610.5	0.018
611	0.017
611.5	0.016
612	0.012
612.5	0.013
613	0.013
613.5	0.013
614	0.011
614.5	0.011
615	0.009
615.5	0.012
616	0.012
616.5	0.016
617	0.015
617.5	0.016
618	0.015
618.5	0.012
619	0.009
619.5	0.006
620	0.002
620.5	0.004
621	0.007
621.5	0.013
622	0.02
622.5	0.025
623	0.023
623.5	0.021
624	0.013
624.5	0.004
625	-0.001
625.5	-0.003
626	0
626.5	0.006
627	0.009
627.5	0.016
628	0.018
628.5	0.016
629	0.015
629.5	0.009
630	0.009
630.5	0.007
631	0.005
631.5	0.009
632	0.009
632.5	0.013
633	0.018
633.5	0.018
634	0.017
634.5	0.013
635	0.008
635.5	0.005
636	-0.002
636.5	-0.001
637	-0.001
637.5	0
638	0.002
638.5	0.005
639	0.008
639.5	0.01
640	0.014
640.5	0.015
641	0.016
641.5	0.02
642	0.02
642.5	0.022
643	0.024
643.5	0.022
644	0.016
644.5	0.015
645	0.011
645.5	0.004
646	-0.002
646.5	-0.006
647	-0.007
647.5	-0.004
648	0
648.5	0
649	0
649.5	0.003
650	0.005
650.5	0.006
651	0.005
651.5	0.001
652	0.009
652.5	0.012
653	0.011
653.5	0.014
654	0.012
654.5	0.013
655	0.016
655.5	0.014
656	0.014
656.5	0.004
657	0.004
657.5	0.002
658	-0.001
658.5	-0.004
659	0.002
659.5	0.006
660	0.008
660.5	0.014
661	0.019
661.5	0.015
662	0.017
662.5	0.021
663	0.023
663.5	0.024
664	0.029
664.5	0.023
665	0.018
665.5	0.012
666	0.01
666.5	0.01
667	0.012
667.5	0.017
668	0.018
668.5	0.022
669	0.024
669.5	0.022
670	0.02
670.5	0.019
671	0.02
671.5	0.02
672	0.021
672.5	0.02
673	0.02
673.5	0.016
674	0.013
674.5	0.012
675	0.014
675.5	0.013
676	0.01
676.5	0.011
677	0.011
677.5	0.011
678	0.018
678.5	0.016
679	0.012
679.5	0.012
680	0.014
680.5	0.014
681	0.015
681.5	0.02
682	0.022
682.5	0.027
683	0.027
683.5	0.023
684	0.013
684.5	0.007
685	0.005
685.5	0.008
686	0.006
686.5	0.009
687	0.008
687.5	0.016
688	0.018
688.5	0.017
689	0.015
689.5	0.013
690	0.015
690.5	0.017
691	0.011
691.5	0.004
692	0.002
692.5	0.001
693	0.002
693.5	0.001
694	0.002
694.5	0.004
695	0.004
695.5	0.009
696	0.009
696.5	0.01
697	0.01
697.5	0.006
698	0.007
698.5	0.012
699	0.014
699.5	0.012
700	0.001
700.5	-0.003
701	0
701.5	0.003
702	0.003
702.5	0.009
703	0.013
703.5	0.015
704	0.019
704.5	0.016
705	0.013
705.5	0.011
706	0.01
706.5	0.009
707	0.007
707.5	0.008
708	-0.001
708.5	-0.004
709	-0.009
709.5	-0.003
710	0.001
710.5	0.007
711	0.006
711.5	0.01
712	0.014
712.5	0.011
713	0.007
713.5	0.008
714	0.001
714.5	0.005
715	0.002
715.5	-0.001
716	-0.008
716.5	-0.008
717	-0.005
717.5	-0.006
718	-0.003
718.5	0.004
719	0.004
719.5	0.012
720	0.011
720.5	0.008
721	0
721.5	0.007
722	0.012
722.5	0.009
723	0.011
723.5	0.012
724	0.008
724.5	0.004
725	-0.004
725.5	-0.01
726	-0.022
726.5	-0.019
727	-0.014
727.5	-0.012
728	-0.002
728.5	0
729	0.004
729.5	0.007
730	0.011
730.5	0.008
731	0.003
731.5	0.001
732	0.004
732.5	0.001
733	0.004
733.5	0.003
734	0.004
734.5	0.005
735	0.003
735.5	-0.009
736	-0.012
736.5	-0.014
737	-0.014
737.5	-0.019
738	-0.016
738.5	-0.003
739	0.01
739.5	0.021
740	0.023
740.5	0.022
741	0.022
741.5	0.022
742	0.015
742.5	0.009
743	0.01
743.5	0.013
744	0.017
744.5	0.022
745	0.022
745.5	0.025
746	0.024
746.5	0.022
747	0.021
747.5	0.019
748	0.018
748.5	0.013
749	0.006
749.5	0.007
750	0.004
750.5	0.001
751	0
751.5	0.005
752	0.012
752.5	0.015
753	0.017
753.5	0.018
754	0.01
754.5	0.002
755	-0.011
755.5	-0.024
756	-0.021
756.5	-0.015
757	-0.012
757.5	-0.004
758	0.006
758.5	0.021
759	0.021
759.5	0.02
760	0.02
760.5	0.019
761	0.019
761.5	0.021
762	0.018
762.5	0.017
763	0.013
763.5	0.014
764	0.006
764.5	0
765	-0.003
765.5	-0.003
766	-0.003
766.5	0.005
767	0.006
767.5	-0.002
768	-0.002
768.5	0.002
769	-0.001
769.5	0
770	-0.001
770.5	0.006
771	0.011
771.5	0.013
772	0.01
772.5	0.009
773	0.008
773.5	0.014
774	0.014
774.5	0.015
775	0.012
775.5	0.017
776	0.016
776.5	0.012
777	0.01
777.5	0.016
778	0.017
778.5	0.018
779	0.016
779.5	0.013
780	0.009
780.5	0.01
781	0.009
781.5	0.006
782	0.004
782.5	0.006
783	0.011
783.5	0.005
784	0.007
784.5	0.006
785	0.006
785.5	0.007
786	0.003
786.5	0.004
787	0.001
787.5	0
788	0.001
788.5	-0.003
789	0.001
789.5	-0.002
790	0.002
790.5	0
791	-0.002
791.5	0.003
792	0.008
792.5	0.014
793	0.012
793.5	0.006
794	-0.001
794.5	-0.007
795	-0.005
795.5	-0.013
796	-0.017
796.5	-0.018
797	-0.007
797.5	-0.004
798	-0.006
798.5	-0.014
799	-0.019
799.5	-0.014
800	-0.009
800.5	-0.008
801	-0.009
801.5	0.004
802	0.019
802.5	0.027
803	0.033
803.5	0.02
804	0.011
804.5	0.004
805	0.004
805.5	0.008
806	0.007
806.5	0.017
807	0.021
807.5	0.029
808	0.023
808.5	0.012
809	0.006
809.5	0.004
810	0.014
810.5	0.017
811	0.015
811.5	0.024
812	0.028
812.5	0.024
813	0.021
813.5	0.016
814	0.005
814.5	0.001
815	0.002
815.5	-0.001
816	-0.002
816.5	0.01
817	0.011
817.5	0.01
818	0.009
818.5	0
819	-0.01
819.5	-0.012
820	-0.01
820.5	-0.012
821	-0.015
821.5	-0.008
822	-0.004
822.5	0.001
823	0.006
823.5	0.014
824	0.017
824.5	0.018
825	0.017
825.5	0.012
826	0.001
826.5	0
827	-0.007
827.5	-0.005
828	0.001
828.5	0.003
829	0.006
829.5	0.009
830	0.008
830.5	0.01
831	0.008
831.5	0.013
832	0.006
832.5	0.011
833	0.011
833.5	0.006
834	0.006
834.5	0.002
835	0
835.5	0.006
836	0.006
836.5	0.01
837	0.011
837.5	0.018
838	0.025
838.5	0.026
839	0.025
839.5	0.026
840	0.022
840.5	0.02
841	0.012
841.5	0.011
842	0.005
842.5	0
843	-0.001
843.5	-0.003
844	-0.007
844.5	-0.011
845	-0.012
845.5	-0.012
846	-0.008
846.5	-0.003
847	-0.006
847.5	0.006
848	0.009
848.5	0.019
849	0.028
849.5	0.031
850	0.028
	
	
WT 0.0035M sucrose	
4/4/2023 5:37 PM	
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20333
//WLCalib: 261S 	-0.45
//WLCalib: 362S 	-0.7
//WLCalib: 484S 	-0.73
//WLCalib: 529S 	-0.44
//WLCalib: 823S 	-0.81
//QSpecEnd: 	
190	9.769
190.5	10.097
191	10.31
191.5	10.473
192	10.685
192.5	10.799
193	10.866
193.5	10.899
194	10.947
194.5	11.133
195	11.234
195.5	11.306
196	11.373
196.5	11.318
197	11.37
197.5	11.387
198	11.422
198.5	11.539
199	11.619
199.5	11.763
200	11.795
200.5	11.91
201	12.037
201.5	12.138
202	12.311
202.5	12.435
203	12.619
203.5	12.818
204	12.916
204.5	13.046
205	13.086
205.5	13.138
206	13.17
206.5	13.239
207	13.236
207.5	13.154
208	13.125
208.5	13.009
209	12.856
209.5	12.684
210	12.476
210.5	12.229
211	12.03
211.5	11.877
212	11.611
212.5	11.372
213	11.141
213.5	10.837
214	10.561
214.5	10.274
215	9.963
215.5	9.629
216	9.302
216.5	8.947
217	8.601
217.5	8.281
218	7.99
218.5	7.631
219	7.319
219.5	7.001
220	6.692
220.5	6.391
221	6.108
221.5	5.833
222	5.564
222.5	5.317
223	5.072
223.5	4.823
224	4.588
224.5	4.353
225	4.126
225.5	3.903
226	3.677
226.5	3.46
227	3.255
227.5	3.064
228	2.895
228.5	2.747
229	2.628
229.5	2.522
230	2.435
230.5	2.346
231	2.257
231.5	2.161
232	2.06
232.5	1.966
233	1.872
233.5	1.785
234	1.71
234.5	1.641
235	1.586
235.5	1.531
236	1.484
236.5	1.441
237	1.401
237.5	1.371
238	1.339
238.5	1.309
239	1.282
239.5	1.255
240	1.235
240.5	1.209
241	1.185
241.5	1.17
242	1.154
242.5	1.143
243	1.13
243.5	1.119
244	1.115
244.5	1.111
245	1.107
245.5	1.098
246	1.092
246.5	1.087
247	1.081
247.5	1.079
248	1.075
248.5	1.071
249	1.072
249.5	1.075
250	1.076
250.5	1.074
251	1.071
251.5	1.067
252	1.067
252.5	1.065
253	1.064
253.5	1.062
254	1.065
254.5	1.069
255	1.073
255.5	1.075
256	1.073
256.5	1.074
257	1.07
257.5	1.064
258	1.059
258.5	1.055
259	1.052
259.5	1.05
260	1.051
260.5	1.049
261	1.05
261.5	1.053
262	1.054
262.5	1.056
263	1.059
263.5	1.061
264	1.06
264.5	1.061
265	1.056
265.5	1.055
266	1.05
266.5	1.044
267	1.043
267.5	1.045
268	1.049
268.5	1.05
269	1.053
269.5	1.056
270	1.057
270.5	1.053
271	1.049
271.5	1.04
272	1.036
272.5	1.034
273	1.033
273.5	1.033
274	1.04
274.5	1.044
275	1.043
275.5	1.041
276	1.041
276.5	1.035
277	1.032
277.5	1.033
278	1.036
278.5	1.039
279	1.046
279.5	1.045
280	1.043
280.5	1.047
281	1.043
281.5	1.039
282	1.033
282.5	1.034
283	1.033
283.5	1.031
284	1.033
284.5	1.029
285	1.031
285.5	1.032
286	1.025
286.5	1.019
287	1.013
287.5	1.012
288	1.01
288.5	1.011
289	1.012
289.5	1.014
290	1.016
290.5	1.016
291	1.015
291.5	1.012
292	1.01
292.5	1.009
293	1.008
293.5	1.007
294	1.005
294.5	1.007
295	1.006
295.5	1.005
296	1.005
296.5	1.004
297	1.005
297.5	1.009
298	1.007
298.5	1.003
299	1
299.5	1
300	0.999
300.5	0.995
301	0.991
301.5	0.989
302	0.991
302.5	0.993
303	0.996
303.5	0.994
304	0.994
304.5	0.997
305	0.999
305.5	0.994
306	0.99
306.5	0.988
307	0.99
307.5	0.992
308	0.992
308.5	0.989
309	0.987
309.5	0.984
310	0.98
310.5	0.974
311	0.971
311.5	0.969
312	0.969
312.5	0.97
313	0.971
313.5	0.975
314	0.974
314.5	0.974
315	0.977
315.5	0.978
316	0.978
316.5	0.977
317	0.975
317.5	0.973
318	0.971
318.5	0.967
319	0.966
319.5	0.967
320	0.966
320.5	0.968
321	0.967
321.5	0.968
322	0.965
322.5	0.959
323	0.958
323.5	0.958
324	0.956
324.5	0.956
325	0.956
325.5	0.958
326	0.959
326.5	0.961
327	0.959
327.5	0.957
328	0.958
328.5	0.96
329	0.957
329.5	0.962
330	0.962
330.5	0.963
331	0.961
331.5	0.959
332	0.958
332.5	0.958
333	0.958
333.5	0.958
334	0.953
334.5	0.954
335	0.953
335.5	0.956
336	0.96
336.5	0.965
337	0.968
337.5	0.974
338	0.977
338.5	0.975
339	0.969
339.5	0.965
340	0.959
340.5	0.955
341	0.955
341.5	0.952
342	0.949
342.5	0.951
343	0.951
343.5	0.95
344	0.948
344.5	0.947
345	0.944
345.5	0.945
346	0.948
346.5	0.948
347	0.95
347.5	0.951
348	0.952
348.5	0.949
349	0.946
349.5	0.942
350	0.938
350.5	0.939
351	0.936
351.5	0.933
352	0.934
352.5	0.935
353	0.936
353.5	0.934
354	0.938
354.5	0.941
355	0.942
355.5	0.942
356	0.939
356.5	0.935
357	0.934
357.5	0.931
358	0.926
358.5	0.927
359	0.93
359.5	0.935
360	0.937
360.5	0.936
361	0.932
361.5	0.93
362	0.927
362.5	0.925
363	0.921
363.5	0.923
364	0.923
364.5	0.926
365	0.926
365.5	0.928
366	0.927
366.5	0.931
367	0.934
367.5	0.933
368	0.929
368.5	0.927
369	0.925
369.5	0.924
370	0.922
370.5	0.924
371	0.927
371.5	0.932
372	0.933
372.5	0.93
373	0.924
373.5	0.921
374	0.92
374.5	0.918
375	0.92
375.5	0.922
376	0.926
376.5	0.927
377	0.928
377.5	0.93
378	0.929
378.5	0.93
379	0.932
379.5	0.929
380	0.932
380.5	0.931
381	0.929
381.5	0.927
382	0.926
382.5	0.927
383	0.926
383.5	0.929
384	0.929
384.5	0.924
385	0.926
385.5	0.926
386	0.926
386.5	0.926
387	0.925
387.5	0.925
388	0.926
388.5	0.929
389	0.927
389.5	0.926
390	0.929
390.5	0.93
391	0.928
391.5	0.925
392	0.923
392.5	0.92
393	0.918
393.5	0.919
394	0.92
394.5	0.923
395	0.924
395.5	0.925
396	0.923
396.5	0.922
397	0.92
397.5	0.918
398	0.917
398.5	0.918
399	0.918
399.5	0.918
400	0.917
400.5	0.916
401	0.914
401.5	0.915
402	0.914
402.5	0.913
403	0.914
403.5	0.913
404	0.914
404.5	0.914
405	0.915
405.5	0.913
406	0.914
406.5	0.914
407	0.912
407.5	0.911
408	0.913
408.5	0.911
409	0.91
409.5	0.91
410	0.907
410.5	0.907
411	0.913
411.5	0.915
412	0.916
412.5	0.921
413	0.927
413.5	0.928
414	0.925
414.5	0.922
415	0.92
415.5	0.922
416	0.925
416.5	0.926
417	0.923
417.5	0.924
418	0.927
418.5	0.925
419	0.921
419.5	0.918
420	0.916
420.5	0.916
421	0.917
421.5	0.92
422	0.92
422.5	0.921
423	0.924
423.5	0.925
424	0.926
424.5	0.927
425	0.927
425.5	0.928
426	0.93
426.5	0.931
427	0.931
427.5	0.93
428	0.929
428.5	0.93
429	0.932
429.5	0.933
430	0.936
430.5	0.935
431	0.938
431.5	0.939
432	0.941
432.5	0.94
433	0.94
433.5	0.941
434	0.94
434.5	0.936
435	0.936
435.5	0.936
436	0.937
436.5	0.939
437	0.94
437.5	0.943
438	0.944
438.5	0.947
439	0.946
439.5	0.944
440	0.944
440.5	0.946
441	0.949
441.5	0.954
442	0.956
442.5	0.957
443	0.959
443.5	0.959
444	0.957
444.5	0.956
445	0.954
445.5	0.957
446	0.956
446.5	0.955
447	0.951
447.5	0.946
448	0.943
448.5	0.941
449	0.941
449.5	0.945
450	0.947
450.5	0.95
451	0.951
451.5	0.951
452	0.95
452.5	0.948
453	0.948
453.5	0.948
454	0.948
454.5	0.946
455	0.944
455.5	0.94
456	0.938
456.5	0.938
457	0.936
457.5	0.932
458	0.929
458.5	0.924
459	0.92
459.5	0.917
460	0.914
460.5	0.916
461	0.918
461.5	0.919
462	0.923
462.5	0.924
463	0.926
463.5	0.924
464	0.921
464.5	0.92
465	0.919
465.5	0.92
466	0.918
466.5	0.915
467	0.916
467.5	0.918
468	0.917
468.5	0.913
469	0.911
469.5	0.912
470	0.912
470.5	0.912
471	0.91
471.5	0.908
472	0.907
472.5	0.907
473	0.904
473.5	0.903
474	0.905
474.5	0.909
475	0.909
475.5	0.908
476	0.908
476.5	0.908
477	0.906
477.5	0.904
478	0.901
478.5	0.899
479	0.898
479.5	0.898
480	0.896
480.5	0.895
481	0.898
481.5	0.9
482	0.899
482.5	0.896
483	0.896
483.5	0.895
484	0.894
484.5	0.892
485	0.889
485.5	0.888
486	0.89
486.5	0.891
487	0.89
487.5	0.89
488	0.894
488.5	0.895
489	0.895
489.5	0.895
490	0.892
490.5	0.891
491	0.888
491.5	0.886
492	0.883
492.5	0.884
493	0.885
493.5	0.885
494	0.886
494.5	0.889
495	0.89
495.5	0.89
496	0.891
496.5	0.887
497	0.883
497.5	0.88
498	0.879
498.5	0.882
499	0.884
499.5	0.883
500	0.881
500.5	0.881
501	0.881
501.5	0.88
502	0.881
502.5	0.879
503	0.881
503.5	0.881
504	0.879
504.5	0.875
505	0.869
505.5	0.864
506	0.865
506.5	0.868
507	0.87
507.5	0.871
508	0.869
508.5	0.867
509	0.868
509.5	0.867
510	0.864
510.5	0.863
511	0.866
511.5	0.869
512	0.869
512.5	0.873
513	0.87
513.5	0.867
514	0.866
514.5	0.863
515	0.861
515.5	0.861
516	0.858
516.5	0.856
517	0.859
517.5	0.861
518	0.859
518.5	0.856
519	0.854
519.5	0.852
520	0.852
520.5	0.853
521	0.851
521.5	0.851
522	0.855
522.5	0.858
523	0.856
523.5	0.853
524	0.852
524.5	0.852
525	0.85
525.5	0.847
526	0.848
526.5	0.845
527	0.845
527.5	0.842
528	0.84
528.5	0.835
529	0.834
529.5	0.836
530	0.833
530.5	0.837
531	0.841
531.5	0.84
532	0.836
532.5	0.833
533	0.833
533.5	0.827
534	0.821
534.5	0.819
535	0.82
535.5	0.824
536	0.827
536.5	0.829
537	0.829
537.5	0.829
538	0.832
538.5	0.83
539	0.828
539.5	0.825
540	0.823
540.5	0.821
541	0.821
541.5	0.822
542	0.821
542.5	0.821
543	0.822
543.5	0.818
544	0.817
544.5	0.812
545	0.812
545.5	0.814
546	0.814
546.5	0.816
547	0.817
547.5	0.816
548	0.816
548.5	0.809
549	0.804
549.5	0.803
550	0.803
550.5	0.803
551	0.805
551.5	0.802
552	0.798
552.5	0.798
553	0.796
553.5	0.791
554	0.789
554.5	0.79
555	0.791
555.5	0.791
556	0.79
556.5	0.788
557	0.787
557.5	0.789
558	0.791
558.5	0.791
559	0.793
559.5	0.795
560	0.796
560.5	0.794
561	0.796
561.5	0.794
562	0.794
562.5	0.794
563	0.792
563.5	0.788
564	0.786
564.5	0.786
565	0.785
565.5	0.784
566	0.784
566.5	0.784
567	0.785
567.5	0.782
568	0.778
568.5	0.778
569	0.778
569.5	0.778
570	0.777
570.5	0.773
571	0.771
571.5	0.774
572	0.775
572.5	0.775
573	0.778
573.5	0.783
574	0.783
574.5	0.781
575	0.778
575.5	0.774
576	0.772
576.5	0.772
577	0.777
577.5	0.781
578	0.78
578.5	0.777
579	0.771
579.5	0.772
580	0.768
580.5	0.765
581	0.764
581.5	0.764
582	0.768
582.5	0.772
583	0.771
583.5	0.764
584	0.765
584.5	0.771
585	0.774
585.5	0.77
586	0.768
586.5	0.765
587	0.762
587.5	0.763
588	0.762
588.5	0.759
589	0.758
589.5	0.757
590	0.759
590.5	0.76
591	0.763
591.5	0.765
592	0.765
592.5	0.77
593	0.773
593.5	0.773
594	0.77
594.5	0.762
595	0.763
595.5	0.763
596	0.762
596.5	0.763
597	0.764
597.5	0.766
598	0.771
598.5	0.771
599	0.772
599.5	0.769
600	0.77
600.5	0.77
601	0.767
601.5	0.768
602	0.768
602.5	0.767
603	0.76
603.5	0.755
604	0.753
604.5	0.75
605	0.751
605.5	0.753
606	0.756
606.5	0.76
607	0.766
607.5	0.768
608	0.769
608.5	0.773
609	0.776
609.5	0.773
610	0.773
610.5	0.772
611	0.769
611.5	0.766
612	0.765
612.5	0.765
613	0.765
613.5	0.764
614	0.762
614.5	0.759
615	0.762
615.5	0.769
616	0.772
616.5	0.781
617	0.784
617.5	0.785
618	0.781
618.5	0.774
619	0.765
619.5	0.761
620	0.759
620.5	0.759
621	0.762
621.5	0.768
622	0.773
622.5	0.778
623	0.779
623.5	0.779
624	0.773
624.5	0.768
625	0.767
625.5	0.764
626	0.765
626.5	0.768
627	0.772
627.5	0.777
628	0.781
628.5	0.78
629	0.778
629.5	0.775
630	0.777
630.5	0.78
631	0.778
631.5	0.778
632	0.782
632.5	0.784
633	0.785
633.5	0.783
634	0.781
634.5	0.777
635	0.772
635.5	0.767
636	0.762
636.5	0.76
637	0.767
637.5	0.772
638	0.777
638.5	0.78
639	0.786
639.5	0.788
640	0.784
640.5	0.78
641	0.776
641.5	0.775
642	0.773
642.5	0.771
643	0.77
643.5	0.77
644	0.773
644.5	0.772
645	0.767
645.5	0.763
646	0.757
646.5	0.756
647	0.754
647.5	0.753
648	0.755
648.5	0.761
649	0.766
649.5	0.772
650	0.769
650.5	0.769
651	0.765
651.5	0.76
652	0.758
652.5	0.752
653	0.746
653.5	0.746
654	0.742
654.5	0.742
655	0.741
655.5	0.742
656	0.75
656.5	0.751
657	0.754
657.5	0.755
658	0.754
658.5	0.753
659	0.752
659.5	0.753
660	0.749
660.5	0.751
661	0.758
661.5	0.76
662	0.763
662.5	0.765
663	0.765
663.5	0.759
664	0.759
664.5	0.756
665	0.753
665.5	0.755
666	0.757
666.5	0.758
667	0.758
667.5	0.756
668	0.752
668.5	0.749
669	0.751
669.5	0.754
670	0.751
670.5	0.754
671	0.757
671.5	0.759
672	0.763
672.5	0.767
673	0.774
673.5	0.78
674	0.78
674.5	0.78
675	0.774
675.5	0.773
676	0.765
676.5	0.763
677	0.761
677.5	0.767
678	0.777
678.5	0.783
679	0.782
679.5	0.787
680	0.794
680.5	0.796
681	0.796
681.5	0.801
682	0.799
682.5	0.8
683	0.795
683.5	0.793
684	0.785
684.5	0.782
685	0.782
685.5	0.787
686	0.789
686.5	0.791
687	0.789
687.5	0.79
688	0.788
688.5	0.787
689	0.788
689.5	0.789
690	0.791
690.5	0.795
691	0.789
691.5	0.774
692	0.768
692.5	0.765
693	0.763
693.5	0.765
694	0.764
694.5	0.762
695	0.762
695.5	0.76
696	0.754
696.5	0.746
697	0.744
697.5	0.75
698	0.755
698.5	0.762
699	0.761
699.5	0.759
700	0.747
700.5	0.735
701	0.73
701.5	0.726
702	0.725
702.5	0.728
703	0.724
703.5	0.719
704	0.724
704.5	0.723
705	0.715
705.5	0.711
706	0.712
706.5	0.716
707	0.718
707.5	0.718
708	0.705
708.5	0.7
709	0.702
709.5	0.704
710	0.705
710.5	0.704
711	0.7
711.5	0.702
712	0.701
712.5	0.694
713	0.687
713.5	0.687
714	0.686
714.5	0.687
715	0.686
715.5	0.684
716	0.683
716.5	0.685
717	0.687
717.5	0.681
718	0.684
718.5	0.684
719	0.683
719.5	0.686
720	0.687
720.5	0.69
721	0.693
721.5	0.702
722	0.708
722.5	0.699
723	0.697
723.5	0.687
724	0.684
724.5	0.68
725	0.673
725.5	0.666
726	0.663
726.5	0.666
727	0.666
727.5	0.659
728	0.665
728.5	0.668
729	0.673
729.5	0.673
730	0.664
730.5	0.662
731	0.659
731.5	0.662
732	0.662
732.5	0.662
733	0.664
733.5	0.668
734	0.668
734.5	0.667
735	0.662
735.5	0.661
736	0.66
736.5	0.661
737	0.656
737.5	0.656
738	0.653
738.5	0.661
739	0.667
739.5	0.671
740	0.672
740.5	0.671
741	0.67
741.5	0.667
742	0.661
742.5	0.663
743	0.665
743.5	0.67
744	0.666
744.5	0.665
745	0.662
745.5	0.66
746	0.658
746.5	0.659
747	0.656
747.5	0.661
748	0.662
748.5	0.662
749	0.657
749.5	0.658
750	0.652
750.5	0.648
751	0.645
751.5	0.643
752	0.641
752.5	0.637
753	0.634
753.5	0.631
754	0.628
754.5	0.622
755	0.623
755.5	0.623
756	0.632
756.5	0.636
757	0.64
757.5	0.644
758	0.651
758.5	0.65
759	0.645
759.5	0.643
760	0.642
760.5	0.64
761	0.636
761.5	0.635
762	0.634
762.5	0.633
763	0.631
763.5	0.623
764	0.615
764.5	0.609
765	0.609
765.5	0.611
766	0.612
766.5	0.619
767	0.624
767.5	0.623
768	0.626
768.5	0.629
769	0.627
769.5	0.627
770	0.633
770.5	0.634
771	0.636
771.5	0.631
772	0.622
772.5	0.616
773	0.618
773.5	0.62
774	0.626
774.5	0.63
775	0.638
775.5	0.646
776	0.647
776.5	0.643
777	0.639
777.5	0.645
778	0.645
778.5	0.64
779	0.641
779.5	0.637
780	0.633
780.5	0.632
781	0.628
781.5	0.628
782	0.625
782.5	0.617
783	0.617
783.5	0.607
784	0.605
784.5	0.604
785	0.603
785.5	0.602
786	0.602
786.5	0.608
787	0.607
787.5	0.6
788	0.6
788.5	0.594
789	0.592
789.5	0.591
790	0.591
790.5	0.588
791	0.585
791.5	0.593
792	0.598
792.5	0.596
793	0.595
793.5	0.59
794	0.586
794.5	0.581
795	0.585
795.5	0.582
796	0.583
796.5	0.585
797	0.591
797.5	0.588
798	0.588
798.5	0.584
799	0.581
799.5	0.578
800	0.578
800.5	0.581
801	0.588
801.5	0.598
802	0.607
802.5	0.611
803	0.612
